Time [s], Packet ID, LED Index, Red, Green, Blue, Web-CSS
0.007203740000000,0,0,0x01,0x00,0x00,#010000
0.007231430000000,0,1,0x00,0x00,0x00,#000000
0.007259120000000,0,2,0x00,0x00,0x00,#000000
0.007286820000000,0,3,0x00,0x00,0x00,#000000
0.007314510000000,0,4,0x00,0x00,0x00,#000000
0.007342210000000,0,5,0x00,0x00,0x00,#000000
0.007369890000000,0,6,0x00,0x00,0x00,#000000
0.007397590000000,0,7,0x00,0x00,0x00,#000000
0.007425280000000,0,8,0x00,0x00,0x00,#000000
0.007452980000000,0,9,0x00,0x00,0x00,#000000
0.007480670000000,0,10,0x00,0x00,0x00,#000000
0.007508360000000,0,11,0x00,0x00,0x00,#000000
0.007536050000000,0,12,0x00,0x00,0x00,#000000
0.007563750000000,0,13,0x00,0x00,0x00,#000000
0.007591440000000,0,14,0x00,0x00,0x00,#000000
0.007619130000000,0,15,0x00,0x00,0x00,#000000
0.018101470000000,0,0,0x01,0x00,0x00,#010000
0.018129160000000,0,1,0x00,0x00,0x00,#000000
0.018156860000000,0,2,0x00,0x00,0x00,#000000
0.018184550000000,0,3,0x00,0x00,0x00,#000000
0.018212240000000,0,4,0x00,0x00,0x00,#000000
0.018239940000000,0,5,0x00,0x00,0x00,#000000
0.018267630000000,0,6,0x00,0x00,0x00,#000000
0.018295320000000,0,7,0x00,0x00,0x00,#000000
0.018323010000000,0,8,0x00,0x00,0x00,#000000
0.018350710000000,0,9,0x00,0x00,0x00,#000000
0.018378400000000,0,10,0x00,0x00,0x00,#000000
0.018406100000000,0,11,0x00,0x00,0x00,#000000
0.018433780000000,0,12,0x00,0x00,0x00,#000000
0.018461480000000,0,13,0x00,0x00,0x00,#000000
0.018489170000000,0,14,0x00,0x00,0x00,#000000
0.018516870000000,0,15,0x00,0x00,0x00,#000000
0.029344600000000,0,0,0x01,0x00,0x00,#010000
0.029372290000000,0,1,0x00,0x00,0x00,#000000
0.029399980000000,0,2,0x00,0x00,0x00,#000000
0.029427670000000,0,3,0x00,0x00,0x00,#000000
0.029455370000000,0,4,0x00,0x00,0x00,#000000
0.029483060000000,0,5,0x00,0x00,0x00,#000000
0.029510760000000,0,6,0x00,0x00,0x00,#000000
0.029538440000000,0,7,0x00,0x00,0x00,#000000
0.029566140000000,0,8,0x00,0x00,0x00,#000000
0.029593830000000,0,9,0x00,0x00,0x00,#000000
0.029621530000000,0,10,0x00,0x00,0x00,#000000
0.029649220000000,0,11,0x00,0x00,0x00,#000000
0.029676910000000,0,12,0x00,0x00,0x00,#000000
0.029704600000000,0,13,0x00,0x00,0x00,#000000
0.029732300000000,0,14,0x00,0x00,0x00,#000000
0.029759990000000,0,15,0x00,0x00,0x00,#000000
0.040204160000000,0,0,0x01,0x00,0x00,#010000
0.040231840000000,0,1,0x00,0x00,0x00,#000000
0.040259540000000,0,2,0x00,0x00,0x00,#000000
0.040287230000000,0,3,0x00,0x00,0x00,#000000
0.040314930000000,0,4,0x00,0x00,0x00,#000000
0.040342620000000,0,5,0x00,0x00,0x00,#000000
0.040370310000000,0,6,0x00,0x00,0x00,#000000
0.040398000000000,0,7,0x00,0x00,0x00,#000000
0.040425700000000,0,8,0x00,0x00,0x00,#000000
0.040453390000000,0,9,0x00,0x00,0x00,#000000
0.040481080000000,0,10,0x00,0x00,0x00,#000000
0.040508780000000,0,11,0x00,0x00,0x00,#000000
0.040536470000000,0,12,0x00,0x00,0x00,#000000
0.040564160000000,0,13,0x00,0x00,0x00,#000000
0.040591850000000,0,14,0x00,0x00,0x00,#000000
0.040619550000000,0,15,0x00,0x00,0x00,#000000
0.051102320000000,0,0,0x01,0x00,0x00,#010000
0.051130010000000,0,1,0x00,0x00,0x00,#000000
0.051157710000000,0,2,0x00,0x00,0x00,#000000
0.051185390000000,0,3,0x00,0x00,0x00,#000000
0.051213090000000,0,4,0x00,0x00,0x00,#000000
0.051240780000000,0,5,0x00,0x00,0x00,#000000
0.051268480000000,0,6,0x00,0x00,0x00,#000000
0.051296170000000,0,7,0x00,0x00,0x00,#000000
0.051323860000000,0,8,0x00,0x00,0x00,#000000
0.051351550000000,0,9,0x00,0x00,0x00,#000000
0.051379250000000,0,10,0x00,0x00,0x00,#000000
0.051406940000000,0,11,0x00,0x00,0x00,#000000
