Time [s], Packet ID, LED Index, Red, Green, Blue, Web-CSS
0.006003770000000,0,0,0xFF,0x2E,0x00,#ff2e00
0.006033770000000,0,1,0x00,0x00,0x00,#000000
0.006063780000000,0,2,0x00,0x00,0x00,#000000
0.006093780000000,0,3,0x00,0x00,0x00,#000000
0.006123780000000,0,4,0x00,0x00,0x00,#000000
0.006153780000000,0,5,0x00,0x00,0x00,#000000
0.006183780000000,0,6,0x00,0x00,0x00,#000000
0.006213780000000,0,7,0x00,0x00,0x00,#000000
0.006243780000000,0,8,0x00,0x00,0x00,#000000
0.006273780000000,0,9,0x00,0x00,0x00,#000000
0.006303780000000,0,10,0x00,0x00,0x00,#000000
0.006333780000000,0,11,0x00,0x00,0x00,#000000
0.006363780000000,0,12,0x00,0x00,0x00,#000000
0.006393780000000,0,13,0x00,0x00,0x00,#000000
0.006423780000000,0,14,0x00,0x00,0x00,#000000
0.006453790000000,0,15,0x00,0x00,0x00,#000000
0.016096480000000,0,0,0xFF,0x2E,0x00,#ff2e00
0.016126480000000,0,1,0x00,0x00,0x00,#000000
0.016156480000000,0,2,0x00,0x00,0x00,#000000
0.016186480000000,0,3,0x00,0x00,0x00,#000000
0.016216480000000,0,4,0x00,0x00,0x00,#000000
0.016246490000000,0,5,0x00,0x00,0x00,#000000
0.016276490000000,0,6,0x00,0x00,0x00,#000000
0.016306490000000,0,7,0x00,0x00,0x00,#000000
0.016336490000000,0,8,0x00,0x00,0x00,#000000
0.016366490000000,0,9,0x00,0x00,0x00,#000000
0.016396490000000,0,10,0x00,0x00,0x00,#000000
0.016426490000000,0,11,0x00,0x00,0x00,#000000
0.016456490000000,0,12,0x00,0x00,0x00,#000000
0.016486490000000,0,13,0x00,0x00,0x00,#000000
0.016516490000000,0,14,0x00,0x00,0x00,#000000
0.016546490000000,0,15,0x00,0x00,0x00,#000000
0.027283970000000,0,0,0xFF,0x2E,0x00,#ff2e00
0.027313970000000,0,1,0x00,0x00,0x00,#000000
0.027343970000000,0,2,0x00,0x00,0x00,#000000
0.027373970000000,0,3,0x00,0x00,0x00,#000000
0.027403970000000,0,4,0x00,0x00,0x00,#000000
0.027433970000000,0,5,0x00,0x00,0x00,#000000
0.027463970000000,0,6,0x00,0x00,0x00,#000000
0.027493970000000,0,7,0x00,0x00,0x00,#000000
0.027523970000000,0,8,0x00,0x00,0x00,#000000
0.027553970000000,0,9,0x00,0x00,0x00,#000000
0.027583980000000,0,10,0x00,0x00,0x00,#000000
0.027613980000000,0,11,0x00,0x00,0x00,#000000
0.027643980000000,0,12,0x00,0x00,0x00,#000000
0.027673980000000,0,13,0x00,0x00,0x00,#000000
0.027703980000000,0,14,0x00,0x00,0x00,#000000
0.027733980000000,0,15,0x00,0x00,0x00,#000000
0.038136950000000,0,0,0xFF,0x2E,0x00,#ff2e00
0.038166940000000,0,1,0x00,0x00,0x00,#000000
0.038196950000000,0,2,0x00,0x00,0x00,#000000
0.038226950000000,0,3,0x00,0x00,0x00,#000000
0.038256950000000,0,4,0x00,0x00,0x00,#000000
0.038286950000000,0,5,0x00,0x00,0x00,#000000
0.038316950000000,0,6,0x00,0x00,0x00,#000000
0.038346950000000,0,7,0x00,0x00,0x00,#000000
0.038376950000000,0,8,0x00,0x00,0x00,#000000
0.038406950000000,0,9,0x00,0x00,0x00,#000000
0.038436950000000,0,10,0x00,0x00,0x00,#000000
0.038466950000000,0,11,0x00,0x00,0x00,#000000
0.038496950000000,0,12,0x00,0x00,0x00,#000000
0.038526950000000,0,13,0x00,0x00,0x00,#000000
0.038556950000000,0,14,0x00,0x00,0x00,#000000
0.038586960000000,0,15,0x00,0x00,0x00,#000000
0.049255230000000,0,0,0xFF,0x2E,0x00,#ff2e00
0.049285230000000,0,1,0x00,0x00,0x00,#000000
0.049315230000000,0,2,0x00,0x00,0x00,#000000
0.049345230000000,0,3,0x00,0x00,0x00,#000000
0.049375230000000,0,4,0x00,0x00,0x00,#000000
0.049405230000000,0,5,0x00,0x00,0x00,#000000
0.049435230000000,0,6,0x00,0x00,0x00,#000000
0.049465230000000,0,7,0x00,0x00,0x00,#000000
0.049495230000000,0,8,0x00,0x00,0x00,#000000
0.049525240000000,0,9,0x00,0x00,0x00,#000000
0.049555240000000,0,10,0x00,0x00,0x00,#000000
0.049585240000000,0,11,0x00,0x00,0x00,#000000
0.049615240000000,0,12,0x00,0x00,0x00,#000000
0.049645240000000,0,13,0x00,0x00,0x00,#000000
0.049675240000000,0,14,0x00,0x00,0x00,#000000
0.049705240000000,0,15,0x00,0x00,0x00,#000000
0.060301760000000,0,0,0xFF,0x2E,0x00,#ff2e00
0.060331760000000,0,1,0x00,0x00,0x00,#000000
0.060361760000000,0,2,0x00,0x00,0x00,#000000
0.060391760000000,0,3,0x00,0x00,0x00,#000000
0.060421760000000,0,4,0x00,0x00,0x00,#000000
0.060451760000000,0,5,0x00,0x00,0x00,#000000
0.060481760000000,0,6,0x00,0x00,0x00,#000000
0.060511770000000,0,7,0x00,0x00,0x00,#000000
0.060541770000000,0,8,0x00,0x00,0x00,#000000
0.060571770000000,0,9,0x00,0x00,0x00,#000000
0.060601770000000,0,10,0x00,0x00,0x00,#000000
0.060631770000000,0,11,0x00,0x00,0x00,#000000
0.060661770000000,0,12,0x00,0x00,0x00,#000000
0.060691770000000,0,13,0x00,0x00,0x00,#000000
0.060721770000000,0,14,0x00,0x00,0x00,#000000
0.060751770000000,0,15,0x00,0x00,0x00,#000000
0.071133540000000,0,0,0xFF,0x2E,0x00,#ff2e00
0.071163540000000,0,1,0x00,0x00,0x00,#000000
0.071193540000000,0,2,0x00,0x00,0x00,#000000
0.071223540000000,0,3,0x00,0x00,0x00,#000000
0.071253540000000,0,4,0x00,0x00,0x00,#000000
0.071283540000000,0,5,0x00,0x00,0x00,#000000
0.071313540000000,0,6,0x00,0x00,0x00,#000000
0.071343540000000,0,7,0x00,0x00,0x00,#000000
0.071373540000000,0,8,0x00,0x00,0x00,#000000
0.071403540000000,0,9,0x00,0x00,0x00,#000000
0.071433540000000,0,10,0x00,0x00,0x00,#000000
0.071463550000000,0,11,0x00,0x00,0x00,#000000
0.071493550000000,0,12,0x00,0x00,0x00,#000000
0.071523550000000,0,13,0x00,0x00,0x00,#000000
0.071553550000000,0,14,0x00,0x00,0x00,#000000
0.071583550000000,0,15,0x00,0x00,0x00,#000000
0.082036820000000,0,0,0xFF,0x2E,0x00,#ff2e00
0.082066820000000,0,1,0x00,0x00,0x00,#000000
0.082096820000000,0,2,0x00,0x00,0x00,#000000
0.082126820000000,0,3,0x00,0x00,0x00,#000000
0.082156820000000,0,4,0x00,0x00,0x00,#000000
0.082186820000000,0,5,0x00,0x00,0x00,#000000
0.082216820000000,0,6,0x00,0x00,0x00,#000000
0.082246820000000,0,7,0x00,0x00,0x00,#000000
0.082276820000000,0,8,0x00,0x00,0x00,#000000
0.082306820000000,0,9,0x00,0x00,0x00,#000000
0.082336820000000,0,10,0x00,0x00,0x00,#000000
